Date,Price,EB
2022-05-14,30045.83244164,2630567.66042943
2022-05-15,31293.95700051,2626767.66411093
2022-05-16,29840.82995469,2620256.17367142
2022-05-17,30413.02861782,2628228.62814025
2022-05-18,28676.32617195,2637659.79991556
2022-05-19,30298.15880155,2648833.71383735
2022-05-20,29166.6174823,2654594.04502277
2022-05-21,29417.40251725,2655462.22854685
2022-05-22,30277.48700072,2655880.77816891
2022-05-23,29079.27641407,2652524.00079071
2022-05-24,29622.10685544,2657924.10939602
2022-05-25,29519.67858757,2666243.73402465
2022-05-26,29171.93285363,2663021.6370858
2022-05-27,28603.5935382,2661715.13025252
2022-05-28,29014.40580367,2652017.5508851
2022-05-29,29458.48420614,2650373.03590039
2022-05-30,31727.11837466,2658671.44588898
2022-05-31,31807.83032774,2656051.33283097
2022-06-01,29799.93290151,2672259.41031254
2022-06-02,30464.21142335,2672702.63879389
2022-06-03,29673.20122426,2665961.52514595
2022-06-04,29840.26607847,2666499.8363666
2022-06-05,29897.22098206,2662468.22032719
2022-06-06,31349.98649918,2678052.43186511
2022-06-07,31124.50393023,2681385.44579021
2022-06-08,30209.77059859,2684293.72224361
2022-06-09,30081.96887092,2678052.62805543
2022-06-10,29067.76826613,2680373.16165591
2022-06-11,28391.96630812,2674819.1339941
2022-06-12,26565.16765311,2670161.58357068
2022-06-13,22447.27391526,2660689.27618908
2022-06-14,22115.4598811,2676818.85536356
2022-06-15,22555.35086606,2652360.76574192
2022-06-16,20372.20528893,2645177.2381566
2022-06-17,20441.05058117,2575815.85160803
2022-06-18,18945.87007242,2577000.62017106
2022-06-19,20545.49953181,2577564.34605511
2022-06-20,20551.88106952,2567618.8736665
2022-06-21,20700.45605168,2593077.61725873
2022-06-22,19966.62079244,2572419.59421348
2022-06-23,21098.5528252,2577050.50721856
2022-06-24,21222.60836403,2570340.03745483
2022-06-25,21474.06804164,2567757.84465821
2022-06-26,21027.32638259,2568330.14541618
2022-06-27,20719.22923745,2581224.60209878
2022-06-28,20260.9324245,2575492.20251583
2022-06-29,20097.57928236,2575502.68319373
2022-06-30,19959.94399856,2563987.11801407
2022-07-01,19254.23453147,2557979.46730025
2022-07-02,19226.22827484,2557612.58038024
2022-07-03,19301.4465448,2555711.05783416
2022-07-04,20213.8382104,2560309.34695208
2022-07-05,20156.52291065,2558743.97206994
2022-07-06,20545.35236415,2556575.33984367
2022-07-07,21609.73780727,2561266.13656412
2022-07-08,21584.09870414,2555675.2248771
2022-07-09,21581.01927849,2555645.66623146
2022-07-10,20855.52377882,2553002.58227364
2022-07-11,19949.95365449,2542865.73628862
2022-07-12,19308.91576081,2549030.96721559
2022-07-13,20216.65422938,2554206.98153692
2022-07-14,20581.20021004,2553823.86344292
2022-07-15,20824.93743786,2562314.82920186
2022-07-16,21191.3997511,2563074.4943185
2022-07-17,20794.19901682,2582897.28070047
2022-07-18,22429.76858101,2584016.0351973
2022-07-19,23395.82970996,2567818.88902342
2022-07-20,23225.331904,2558415.79601257
2022-07-21,23152.59364688,2560743.86650693
2022-07-22,22685.28187766,2558730.07406962
2022-07-23,22450.73528306,2559432.75657594
2022-07-24,22583.99020051,2555183.09785393
2022-07-25,21311.07303894,2549049.49270822
2022-07-26,21257.1321064,2543101.54600214
2022-07-27,22960.57253784,2542371.96095944
2022-07-28,23848.33645644,2542468.88278391
2022-07-29,23781.00356356,2537750.91054389
2022-07-30,23648.78251023,2537351.3892071
2022-07-31,23297.87656651,2537616.65923083
2022-08-01,23267.87026843,2538813.27379614
2022-08-02,22989.82664441,2541640.34632935
2022-08-03,22823.58050335,2534495.02589327
2022-08-04,22624.8019645,2539042.6933321
2022-08-05,23316.97154577,2534962.9539595
2022-08-06,22954.9720568,2535115.02740675
2022-08-07,23178.44074678,2536059.15579385
2022-08-08,23813.49847218,2535468.99316225
2022-08-09,23154.20908349,2533975.5647295
2022-08-10,23962.13218585,2537911.81552385
2022-08-11,23949.53322048,2539752.73323243
2022-08-12,24413.442716,2535093.83643232
2022-08-13,24451.21063387,2535381.05753138
2022-08-14,24310.59845357,2529488.88811762
2022-08-15,24099.37443619,2523286.66029306
2022-08-16,23858.98360553,2539102.14770679
2022-08-17,23344.10940229,2541354.91936932
2022-08-18,23192.06093438,2528682.47542643
2022-08-19,20834.20384774,2522901.89920413
2022-08-20,21140.08379904,2521520.56002491
2022-08-21,21512.06999121,2518988.72030972
2022-08-22,21398.18720978,2521012.34031134
2022-08-23,21528.46680966,2523770.31496825
2022-08-24,21368.35648105,2522180.44637985
2022-08-25,21558.03798936,2516652.69691533
2022-08-26,20247.0032981,2518553.54700223
2022-08-27,20035.34943991,2516955.48903507
2022-08-28,19558.05413147,2519711.81418952
2022-08-29,20288.77483631,2512682.49756249
2022-08-30,19811.77687379,2512940.63682552
2022-08-31,20052.43148399,2520154.10235629
2022-09-01,20139.02826559,2519279.28649382
2022-09-02,19954.9979453,2529292.65333644
2022-09-03,19832.2554126,2529412.91598301
2022-09-04,20002.20167807,2532327.88601198
2022-09-05,19795.29870175,2539611.36196517
2022-09-06,18790.70800285,2528678.52484848
2022-09-07,19292.88386009,2530435.44694573
2022-09-08,19321.2039796,2530577.63452646
2022-09-09,21367.47600888,2535061.97956743
2022-09-10,21653.83567644,2540123.32829684
2022-09-11,21832.33125703,2539211.15491172
2022-09-12,22402.27852114,2542881.69878544
2022-09-13,20174.66935704,2532090.94504795
2022-09-14,20228.18001591,2513675.95959882
2022-09-15,19702.92040861,2538322.33737084
2022-09-16,19803.46316389,2537008.86231015
2022-09-17,20115.28915173,2540882.83950775
2022-09-18,19416.82549151,2541080.63294363
2022-09-19,19540.93694922,2539947.58493188
2022-09-20,18875.91078755,2539819.03000662
2022-09-21,18460.93291804,2547320.33910296
2022-09-22,19401.96104264,2545611.96768858
2022-09-23,19289.74905048,2548883.7871722
2022-09-24,18921.26915714,2551040.96112076
2022-09-25,18808.81215717,2557876.07616361
